Niveau1;Niveau2;Niveau3;URL;Base;Avancé
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Accreditation;Accreditation/index.php;X;X
MenuLM_Participants;MenuLM_Accreditation;TakePicture;Accreditation/AccreditationPicture.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Fees setup;Accreditation/ManagePrices.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Athlets fees status;Accreditation/ManagePays.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Accreditation colors management;Accreditation/Colors.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_PrintBadges;Accreditation/IdCards.php;X;
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Printout;Accreditation/PrintOut.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_GateSituation;Accreditation/GateSituation.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_GateControl;Accreditation/GateControl.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_QrCodesGates;Accreditation/QRcodes.php;X;X
MenuLM_Participants;MenuLM_Athletes Sync.;;Partecipants/LookupTableLoad.php;;
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_Athletes Sync.;Partecipants/LookupTableLoad.php;;
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_ListLoad;Partecipants/ListLoad.php;;
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_AthletesDiscrepancies;Partecipants/Discrepancies.php;X;X
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_ChangeNationsNames;Partecipants/ChangeNationsNames.php;X;
MenuLM_Participants;MenuLM_Athletes Sync.;TourCountries;Tournament/Countries.php;X;
MenuLM_Participants;MenuLM_Statistics;;Partecipants/PrintOutStat.php;;
MenuLM_Participants;MenuLM_Printout;;Partecipants/PrintOut.php;;
MenuLM_Participants;MenuLM_Speaker;;Modules/Speaker/participants.php;X;
MenuLM_Qualification;;;;;
MenuLM_Qualification;MenuLM_Input Score;;;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Standard Table;Qualification/index.php;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Extended Table;Qualification/index_all.php;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Arrow by Arrow (Advanced user);Qualification/WriteArrows.php;X;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Arrow by Arrow (Scorecards);Qualification/WriteScoreCard.php;X;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Check Data Update;Qualification/CheckTargetUpdate.php;X;X
MenuLM_Qualification;MenuLM_Input Score;SnapshotConf;Qualification/SnapshotConf.php;X;X
MenuLM_Qualification;MenuLM_Input Score;MenuLM_GetScoreBarcode;Modules/Barcodes/GetScoreBarCode.php;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_GetScoreBarcodeReport;Modules/Barcodes/GetScoreBarCodeReport.php;X;
MenuLM_Qualification;MenuLM_Export Text File;;Qualification/ExportTSV.php;X;X
MenuLM_Qualification;MenuLM_Scorecard Printout;;Qualification/PrintScore.php;;
MenuLM_Qualification;MenuLM_NewBacknumbers;;Accreditation/IdCards.php?CardType=Q;X;X
MenuLM_Qualification;MenuLM_Personal Rank;;Qualification/RankPersonal1.php;X;X
MenuLM_Qualification;MenuLM_Category Result List;;Qualification/PrintOut.php;;
MenuLM_Qualification;MenuLM_Qualification Round;;Qualification/PrintOutAbs.php;;
MenuLM_Qualification;MenuLM_Speaker;;Modules/Speaker/qualification.php;X;
R-Session;;;;;
R-Session;DifferentEventSoManagementButton;;Modules/RoundRobin/AbsRobin.php;X;
R-Session;TargetAssignment;;Modules/RoundRobin/Targets.php;X;
R-Session;GroupAssignment;;Modules/RoundRobin/Grouping.php;X;
R-Session;MenuLM_Scorecard Printout;;Modules/RoundRobin/PrintScore.php;X;
R-Session;MenuLM_Data insert (Table view);;Modules/RoundRobin/InsertPoint.php;X;
R-Session;MenuLM_Swaps;;Final/SwapMatches.php;X;X
R-Session;MenuLM_Spotting;;Modules/RoundRobin/Spotting.php;X;X
R-Session;MenuLM_Printout;;Modules/RoundRobin/PrintOut.php;X;
R-Session;MenuLM_Input Score;;Modules/Barcodes/GetFinScoreBarCode.php;X;
R-Session;MenuLM_Input Score;MenuLM_GetScoreBarcode;Modules/Barcodes/GetRobinScoreBarCode.php;X;
R-Session;MenuLM_Input Score;MenuLM_GetScoreBarcodeReport;Modules/Barcodes/GetScoreBarCodeReport.php;X;
R-Session;MenuLM_Speaker;;Modules/Speaker/robin.php;X;
MenuLM_Individual Finals;;;;;
MenuLM_Individual Finals;MenuLM_Check shoot-off before final phases;;Final/Individual/AbsIndividual.php;X;
MenuLM_Individual Finals;MenuLM_PrnShootOff;;Qualification/PrnShootoff.php;X;X
